Frame,Raw_X,Calib_X,Error_X,Raw_Y,Calib_Y,Error_Y,Raw_Z,Calib_Z,Error_Z,Euclidean_Error
83,0.5808224081993103,0.5807546973228455,6.771087646484375e-05,0.2694311738014221,0.2694244086742401,6.765127182006836e-06,-0.44211289286613464,-0.44207894802093506,-3.394484519958496e-05,7.604460699516991e-05
84,0.5808613300323486,0.5808103084564209,5.1021575927734375e-05,0.2694239914417267,0.2694237530231476,2.384185791015625e-07,-0.43980228900909424,-0.4405692517757416,0.0007669627666473389,0.0007686580146442948
85,0.580888569355011,0.5808656215667725,2.294778823852539e-05,0.26942357420921326,0.2694232761859894,2.980232238769531e-07,-0.43993690609931946,-0.44352397322654724,0.003587067127227783,0.0035871405415791925
86,0.5808942914009094,0.580781102180481,0.0001131892204284668,0.26942628622055054,0.26942920684814453,-2.9206275939941406e-06,-0.44347164034843445,-0.4463680386543274,0.0028963983058929443,0.0028986106113216147
87,0.5808470249176025,0.5808119773864746,3.504753112792969e-05,0.26942887902259827,0.2694297134876251,-8.344650268554688e-07,-0.4400247037410736,-0.4567977786064148,0.016773074865341187,0.016773111502166507
88,0.580848217010498,0.5807704925537109,7.772445678710938e-05,0.26943036913871765,0.2694307863712311,-4.172325134277344e-07,-0.43908819556236267,-0.4555569887161255,0.016468793153762817,0.016468976568284104
89,0.5807864665985107,0.5807356238365173,5.08427619934082e-05,0.26948875188827515,0.2695101499557495,-2.1398067474365234e-05,-0.43755391240119934,-0.44241416454315186,0.004860252141952515,0.004860565167456637
90,0.5807960033416748,0.5807201266288757,7.587671279907227e-05,0.26963382959365845,0.26966392993927,-3.0100345611572266e-05,-0.43966028094291687,-0.4584321975708008,0.01877191662788391,0.018772094107759412
91,0.5807374119758606,0.5806775689125061,5.984306335449219e-05,0.26970961689949036,0.26973339915275574,-2.378225326538086e-05,-0.43774133920669556,-0.45886775851249695,0.02112641930580139,0.02112651744780336
92,0.5807446241378784,0.5807220339775085,2.2590160369873047e-05,0.26975271105766296,0.2697547674179077,-2.0563602447509766e-06,-0.4484683871269226,-0.45395901799201965,0.005490630865097046,0.005490677721440162
93,0.5807292461395264,0.5806242823600769,0.00010496377944946289,0.2697444260120392,0.26973313093185425,1.1295080184936523e-05,-0.42464783787727356,-0.43866419792175293,0.01401636004447937,0.014016757609030357
94,0.5806409120559692,0.5805404186248779,0.0001004934310913086,0.26973670721054077,0.2697352170944214,1.4901161193847656e-06,-0.4285643994808197,-0.4520982503890991,0.02353385090827942,0.023534065516252447
95,0.5805695652961731,0.5805439352989197,2.562999725341797e-05,0.26973238587379456,0.2697027027606964,2.968311309814453e-05,-0.43995919823646545,-0.45456281304359436,0.014603614807128906,0.014603667464680132
96,0.5805450081825256,0.5804008841514587,0.00014412403106689453,0.26975956559181213,0.26977357268333435,-1.4007091522216797e-05,-0.44339218735694885,-0.4696018695831299,0.02620968222618103,0.02621008222673736
97,0.5804760456085205,0.5804041028022766,7.194280624389648e-05,0.2697738707065582,0.2697720229625702,1.8477439880371094e-06,-0.4470762312412262,-0.4637434184551239,0.016667187213897705,0.016667342583766714
98,0.5805299282073975,0.5804747939109802,5.513429641723633e-05,0.26977866888046265,0.26977911591529846,-4.470348358154297e-07,-0.45141273736953735,-0.4606131911277771,0.009200453758239746,0.009200618965482129
99,0.580568790435791,0.5805262923240662,4.2498111724853516e-05,0.2698034346103668,0.2698042094707489,-7.748603820800781e-07,-0.4560025930404663,-0.45825010538101196,0.0022475123405456543,0.002247914235644633
